person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,dti_ratio,income_per_emp_year,rate_tier,risk_score,risk_tier
22,50000,MORTGAGE,6.0,EDUCATION,B,13000,10.65,0,0.26,N,3,0.26,7143.0,Medium (8-12%),13,Low Risk
22,40000,RENT,0.0,EDUCATION,C,6000,12.87,0,0.15,Y,3,0.15,40000.0,High (12-16%),42,Medium Risk
22,34000,RENT,4.0,PERSONAL,A,6000,7.49,1,0.18,N,2,0.176,6800.0,Low (<8%),5,Low Risk
23,40000,RENT,1.0,PERSONAL,A,6000,7.68,0,0.15,N,2,0.15,20000.0,Low (<8%),10,Low Risk
21,50000,MORTGAGE,5.0,EDUCATION,C,9000,13.49,0,0.18,N,4,0.18,8333.0,High (12-16%),12,Low Risk
22,40000,RENT,0.0,VENTURE,A,6000,8.32,0,0.15,N,3,0.15,40000.0,Medium (8-12%),10,Low Risk
21,40000,RENT,1.0,EDUCATION,B,6000,10.08,0,0.15,N,3,0.15,20000.0,Medium (8-12%),15,Low Risk
23,34255,RENT,7.0,VENTURE,G,6000,22.11,1,0.18,Y,3,0.175,4282.0,Very High (>16%),55,Medium Risk
23,50000,OWN,5.0,VENTURE,A,7000,8.9,0,0.14,N,4,0.14,8333.0,Medium (8-12%),0,
24,41000,RENT,3.0,EDUCATION,A,6000,8.9,0,0.15,N,3,0.146,10250.0,Medium (8-12%),5,Low Risk
24,50000,MORTGAGE,0.0,EDUCATION,B,18650,9.91,0,0.37,N,3,0.373,50000.0,Medium (8-12%),30,Low Risk
22,50000,MORTGAGE,6.0,EDUCATION,A,4800,6.03,0,0.1,N,3,0.096,7143.0,Low (<8%),0,
23,41000,RENT,3.0,MEDICAL,B,6000,10.99,0,0.15,N,2,0.146,10250.0,Medium (8-12%),10,Low Risk
26,44000,MORTGAGE,10.0,PERSONAL,D,20000,17.27,1,0.45,Y,2,0.455,4000.0,Very High (>16%),55,Medium Risk
24,41004,RENT,8.0,EDUCATION,A,6000,7.68,0,0.15,N,4,0.146,4556.0,Low (<8%),0,
23,41124,RENT,7.0,DEBTCONSOLIDATION,A,6000,7.49,0,0.15,N,4,0.146,5140.0,Low (<8%),0,
22,50000,MORTGAGE,6.0,VENTURE,B,6000,12.69,0,0.12,N,4,0.12,7143.0,High (12-16%),5,Low Risk
24,44000,MORTGAGE,4.0,HOMEIMPROVEMENT,A,2200,8.9,1,0.05,N,4,0.05,8800.0,Medium (8-12%),5,Low Risk
25,35196,RENT,2.0,MEDICAL,D,6000,14.54,1,0.17,N,3,0.17,11732.0,High (12-16%),25,Low Risk
25,50000,MORTGAGE,9.0,VENTURE,A,18650,7.9,0,0.37,N,4,0.373,5000.0,Low (<8%),15,Low Risk
25,42000,RENT,5.0,MEDICAL,B,6000,12.42,0,0.14,N,2,0.143,7000.0,High (12-16%),5,Low Risk
22,42000,RENT,6.0,DEBTCONSOLIDATION,B,6000,10.65,0,0.14,N,2,0.143,6000.0,Medium (8-12%),5,Low Risk
23,42000,RENT,5.0,VENTURE,B,6000,9.99,0,0.14,N,4,0.143,7000.0,Medium (8-12%),5,Low Risk
26,42000,RENT,3.0,EDUCATION,A,6000,7.29,0,0.14,N,2,0.143,10500.0,Low (<8%),5,Low Risk
23,50000,MORTGAGE,6.0,EDUCATION,B,17000,12.42,0,0.34,N,3,0.34,7143.0,High (12-16%),20,Low Risk
23,50000,MORTGAGE,7.0,EDUCATION,A,3000,6.03,0,0.06,N,4,0.06,6250.0,Low (<8%),0,
25,50000,MORTGAGE,6.0,HOMEIMPROVEMENT,C,11200,14.27,0,0.22,Y,4,0.224,7143.0,High (12-16%),40,Medium Risk
24,42000,RENT,8.0,DEBTCONSOLIDATION,C,6000,12.68,0,0.14,N,4,0.143,4667.0,High (12-16%),12,Low Risk
25,50000,MORTGAGE,8.0,DEBTCONSOLIDATION,B,12500,10.65,0,0.25,N,4,0.25,5556.0,Medium (8-12%),13,Low Risk
25,42000,RENT,1.0,MEDICAL,B,6000,10.99,0,0.14,N,4,0.143,21000.0,Medium (8-12%),15,Low Risk
24,50000,OWN,5.0,DEBTCONSOLIDATION,D,15000,16.29,0,0.3,N,4,0.3,8333.0,Very High (>16%),28,Low Risk
26,42000,RENT,0.0,VENTURE,B,6000,11.12,0,0.14,N,4,0.143,42000.0,Medium (8-12%),15,Low Risk
26,42000,RENT,8.0,MEDICAL,C,6000,12.73,0,0.14,N,4,0.143,4667.0,High (12-16%),12,Low Risk
25,50000,OWN,2.0,HOMEIMPROVEMENT,B,20000,11.71,0,0.4,N,4,0.4,16667.0,Medium (8-12%),25,Low Risk
22,42000,RENT,7.0,EDUCATION,A,6000,7.49,0,0.14,N,3,0.143,5250.0,Low (<8%),0,
23,42996,RENT,2.0,EDUCATION,C,6000,12.84,0,0.14,Y,2,0.14,14332.0,High (12-16%),37,Medium Risk
25,50000,MORTGAGE,3.0,DEBTCONSOLIDATION,A,17000,6.03,0,0.34,N,2,0.34,12500.0,Low (<8%),20,Low Risk
25,44000,MORTGAGE,9.0,DEBTCONSOLIDATION,D,15000,15.31,1,0.34,Y,2,0.341,4400.0,High (12-16%),55,Medium Risk
22,50000,MORTGAGE,4.0,VENTURE,B,10000,12.69,0,0.2,N,4,0.2,10000.0,High (12-16%),10,Low Risk
26,50000,MORTGAGE,3.0,DEBTCONSOLIDATION,A,8000,6.62,0,0.16,N,4,0.16,12500.0,Low (<8%),5,Low Risk
25,50000,MORTGAGE,0.0,VENTURE,E,8000,19.42,0,0.16,N,2,0.16,50000.0,Very High (>16%),38,Medium Risk
23,50000,MORTGAGE,7.0,DEBTCONSOLIDATION,A,2000,6.62,0,0.04,N,4,0.04,6250.0,Low (<8%),0,
21,50000,MORTGAGE,5.0,VENTURE,A,3500,6.03,0,0.07,N,4,0.07,8333.0,Low (<8%),0,
25,50000,MORTGAGE,0.0,DEBTCONSOLIDATION,A,2600,6.03,0,0.05,N,3,0.052,50000.0,Low (<8%),10,Low Risk
26,44000,MORTGAGE,3.0,DEBTCONSOLIDATION,D,3500,16.29,1,0.08,N,3,0.08,11000.0,Very High (>16%),25,Low Risk
25,44000,RENT,1.0,EDUCATION,B,6000,12.69,0,0.14,N,4,0.136,22000.0,High (12-16%),15,Low Risk
23,44000,RENT,2.0,MEDICAL,C,6000,14.22,0,0.14,Y,4,0.136,14667.0,High (12-16%),37,Medium Risk
22,50000,MORTGAGE,6.0,PERSONAL,A,8000,6.03,0,0.16,N,3,0.16,7143.0,Low (<8%),0,
24,44000,RENT,1.0,MEDICAL,A,6000,8.0,0,0.14,N,2,0.136,22000.0,Low (<8%),10,Low Risk
23,50000,OWN,4.0,PERSONAL,B,12600,11.71,0,0.25,N,4,0.252,10000.0,Medium (8-12%),18,Low Risk
24,50000,OWN,5.0,VENTURE,B,5000,12.69,0,0.1,N,3,0.1,8333.0,High (12-16%),5,Low Risk
25,50000,MORTGAGE,2.0,VENTURE,A,10000,7.9,0,0.2,N,2,0.2,16667.0,Low (<8%),5,Low Risk
26,45000,RENT,1.0,EDUCATION,B,6000,9.91,0,0.13,N,2,0.133,22500.0,Medium (8-12%),15,Low Risk
24,50000,MORTGAGE,7.0,VENTURE,B,7500,11.71,0,0.15,N,4,0.15,6250.0,Medium (8-12%),5,Low Risk
24,50000,OWN,7.0,HOMEIMPROVEMENT,B,20000,12.69,0,0.4,N,2,0.4,6250.0,High (12-16%),20,Low Risk
26,45000,RENT,1.0,VENTURE,B,6000,11.71,0,0.13,N,2,0.133,22500.0,Medium (8-12%),15,Low Risk
24,50000,MORTGAGE,8.0,VENTURE,A,13700,6.03,0,0.27,N,3,0.274,5556.0,Low (<8%),8,Low Risk
25,39000,RENT,0.0,VENTURE,C,6000,13.49,1,0.15,Y,2,0.154,39000.0,High (12-16%),42,Medium Risk
22,50000,MORTGAGE,6.0,PERSONAL,A,15000,7.9,0,0.3,N,3,0.3,7143.0,Low (<8%),8,Low Risk
23,39000,RENT,1.0,EDUCATION,D,6000,15.99,1,0.15,N,3,0.154,19500.0,High (12-16%),30,Low Risk
23,50000,MORTGAGE,3.0,EDUCATION,A,10000,6.03,0,0.2,N,4,0.2,12500.0,Low (<8%),5,Low Risk
24,50000,MORTGAGE,2.0,MEDICAL,A,12000,6.62,0,0.24,N,4,0.24,16667.0,Low (<8%),13,Low Risk
26,50000,OWN,10.0,VENTURE,A,9825,7.9,0,0.2,N,4,0.196,4545.0,Low (<8%),0,
22,50000,MORTGAGE,6.0,VENTURE,C,10000,13.48,0,0.2,N,4,0.2,7143.0,High (12-16%),12,Low Risk
26,45000,RENT,3.0,MEDICAL,A,6000,7.49,0,0.13,N,2,0.133,11250.0,Low (<8%),5,Low Risk
24,45000,RENT,5.0,EDUCATION,B,6000,10.99,0,0.13,N,3,0.133,7500.0,Medium (8-12%),5,Low Risk
26,50000,MORTGAGE,4.0,VENTURE,A,17200,7.51,0,0.34,N,4,0.344,10000.0,Low (<8%),20,Low Risk
25,50000,OWN,9.0,EDUCATION,E,9175,19.42,0,0.18,N,4,0.184,5000.0,Very High (>16%),28,Low Risk
23,39000,RENT,7.0,MEDICAL,D,6000,14.09,1,0.15,Y,3,0.154,4875.0,High (12-16%),40,Medium Risk
26,45000,RENT,3.0,EDUCATION,A,6000,5.79,0,0.13,N,2,0.133,11250.0,Low (<8%),5,Low Risk
22,45000,RENT,0.0,PERSONAL,C,6000,13.23,0,0.13,N,4,0.133,45000.0,High (12-16%),22,Low Risk
23,45000,RENT,2.0,VENTURE,B,6000,11.86,0,0.13,N,3,0.133,15000.0,Medium (8-12%),10,Low Risk
23,45000,RENT,7.0,VENTURE,B,6000,11.49,0,0.13,N,2,0.133,5625.0,Medium (8-12%),5,Low Risk
22,50000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,12000,7.9,0,0.24,N,4,0.24,7143.0,Low (<8%),8,Low Risk
22,50000,MORTGAGE,6.0,PERSONAL,A,7800,6.62,0,0.16,N,3,0.156,7143.0,Low (<8%),0,
26,50000,MORTGAGE,10.0,DEBTCONSOLIDATION,A,5400,8.9,0,0.11,N,2,0.108,4545.0,Medium (8-12%),0,
22,39000,RENT,6.0,HOMEIMPROVEMENT,C,6000,13.22,1,0.15,Y,2,0.154,5571.0,High (12-16%),32,Medium Risk
24,45000,RENT,8.0,PERSONAL,B,6000,10.99,0,0.13,N,3,0.133,5000.0,Medium (8-12%),5,Low Risk
23,45000,RENT,8.0,DEBTCONSOLIDATION,C,6000,12.53,0,0.13,N,2,0.133,5000.0,High (12-16%),12,Low Risk
21,45000,RENT,5.0,MEDICAL,A,6000,9.38,0,0.13,N,4,0.133,7500.0,Medium (8-12%),0,
25,39396,RENT,0.0,VENTURE,D,6000,15.31,1,0.15,Y,3,0.152,39396.0,High (12-16%),50,Medium Risk
26,50000,OWN,6.0,EDUCATION,B,3000,9.91,0,0.06,N,2,0.06,7143.0,Medium (8-12%),5,Low Risk
26,50000,MORTGAGE,7.0,VENTURE,A,7200,6.62,0,0.14,N,2,0.144,6250.0,Low (<8%),0,
26,39600,RENT,3.0,PERSONAL,B,6000,12.42,1,0.15,N,3,0.152,9900.0,High (12-16%),10,Low Risk
24,50000,MORTGAGE,3.0,VENTURE,A,15000,8.9,0,0.3,N,2,0.3,12500.0,Medium (8-12%),13,Low Risk
22,50000,OWN,6.0,EDUCATION,B,1000,9.91,0,0.02,N,2,0.02,7143.0,Medium (8-12%),5,Low Risk
23,50000,MORTGAGE,0.0,VENTURE,A,6100,7.49,0,0.12,N,4,0.122,50000.0,Low (<8%),10,Low Risk
25,46000,RENT,3.0,PERSONAL,C,6000,14.72,0,0.13,Y,4,0.13,11500.0,High (12-16%),37,Medium Risk
24,50000,MORTGAGE,5.0,PERSONAL,D,22800,17.27,0,0.46,N,2,0.456,8333.0,Very High (>16%),35,Medium Risk
25,50000,MORTGAGE,4.0,DEBTCONSOLIDATION,A,9000,6.03,0,0.18,N,2,0.18,10000.0,Low (<8%),5,Low Risk
24,46151,RENT,2.0,DEBTCONSOLIDATION,B,6000,10.59,0,0.13,N,4,0.13,15384.0,Medium (8-12%),10,Low Risk
21,46200,RENT,5.0,EDUCATION,A,6000,7.49,0,0.13,N,4,0.13,7700.0,Low (<8%),0,
25,50000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,8000,5.42,0,0.16,N,4,0.16,8333.0,Low (<8%),0,
23,46443,RENT,7.0,EDUCATION,A,6000,7.9,0,0.13,N,4,0.129,5805.0,Low (<8%),0,
26,50000,OWN,8.0,PERSONAL,C,4200,12.99,0,0.08,Y,4,0.084,5556.0,High (12-16%),32,Medium Risk
24,50000,MORTGAGE,8.0,PERSONAL,B,8000,10.99,0,0.16,N,3,0.16,5556.0,Medium (8-12%),5,Low Risk
25,46500,RENT,1.0,EDUCATION,B,6000,8.88,0,0.13,N,2,0.129,23250.0,Medium (8-12%),15,Low Risk
22,40680,RENT,2.0,HOMEIMPROVEMENT,B,6000,11.36,1,0.15,N,4,0.147,13560.0,Medium (8-12%),10,Low Risk
24,47000,RENT,7.0,VENTURE,A,6000,8.9,0,0.13,N,3,0.128,5875.0,Medium (8-12%),0,
23,50000,MORTGAGE,2.0,VENTURE,A,6400,8.49,0,0.13,N,4,0.128,16667.0,Medium (8-12%),5,Low Risk
25,47000,RENT,6.0,VENTURE,B,6000,11.71,0,0.13,N,2,0.128,6714.0,Medium (8-12%),5,Low Risk
24,47000,RENT,8.0,DEBTCONSOLIDATION,B,6000,10.99,0,0.13,N,4,0.128,5222.0,Medium (8-12%),5,Low Risk
24,47000,RENT,3.0,PERSONAL,A,6000,7.66,0,0.13,N,2,0.128,11750.0,Low (<8%),5,Low Risk
22,47000,RENT,2.0,MEDICAL,A,6000,5.42,0,0.13,N,3,0.128,15667.0,Low (<8%),5,Low Risk
25,47000,RENT,1.0,EDUCATION,C,6000,12.87,0,0.13,Y,3,0.128,23500.0,High (12-16%),42,Medium Risk
26,47000,RENT,1.0,DEBTCONSOLIDATION,B,6000,10.33,0,0.13,N,4,0.128,23500.0,Medium (8-12%),15,Low Risk
23,41500,RENT,3.0,EDUCATION,E,6000,16.7,1,0.14,N,2,0.145,10375.0,Very High (>16%),33,Medium Risk
26,50000,OWN,10.0,PERSONAL,A,14400,7.49,0,0.29,N,4,0.288,4545.0,Low (<8%),8,Low Risk
24,41628,RENT,6.0,DEBTCONSOLIDATION,C,6000,11.28,1,0.14,Y,2,0.144,5947.0,Medium (8-12%),32,Medium Risk
24,47928,RENT,1.0,MEDICAL,B,6000,12.53,0,0.13,N,2,0.125,23964.0,High (12-16%),15,Low Risk
23,44000,MORTGAGE,3.0,MEDICAL,B,5400,10.99,1,0.12,N,2,0.123,11000.0,Medium (8-12%),10,Low Risk
24,48000,RENT,0.0,EDUCATION,A,6000,7.49,0,0.13,N,3,0.125,48000.0,Low (<8%),10,Low Risk
26,44000,MORTGAGE,6.0,EDUCATION,A,10000,5.42,1,0.23,N,4,0.227,6286.0,Low (<8%),8,Low Risk
23,50000,OWN,0.0,VENTURE,B,2800,10.59,0,0.06,N,2,0.056,50000.0,Medium (8-12%),15,Low Risk
23,42000,RENT,1.0,HOMEIMPROVEMENT,C,6000,12.99,1,0.14,N,4,0.143,21000.0,High (12-16%),22,Low Risk
26,50000,MORTGAGE,8.0,VENTURE,B,8000,10.59,0,0.16,N,2,0.16,5556.0,Medium (8-12%),5,Low Risk
25,48000,RENT,2.0,MEDICAL,C,6000,12.99,0,0.13,Y,3,0.125,16000.0,High (12-16%),37,Medium Risk
22,48000,RENT,6.0,VENTURE,A,6000,7.49,0,0.13,N,4,0.125,6857.0,Low (<8%),0,
25,48000,RENT,2.0,PERSONAL,B,6000,10.37,0,0.13,N,4,0.125,16000.0,Medium (8-12%),10,Low Risk
24,50000,MORTGAGE,7.0,VENTURE,D,11000,16.89,0,0.22,N,3,0.22,6250.0,Very High (>16%),28,Low Risk
26,50000,MORTGAGE,5.0,HOMEIMPROVEMENT,B,12375,10.99,0,0.25,N,3,0.248,8333.0,Medium (8-12%),13,Low Risk
23,50000,MORTGAGE,5.0,VENTURE,A,3600,5.99,0,0.07,N,2,0.072,8333.0,Low (<8%),0,
21,48000,RENT,5.0,VENTURE,C,6000,13.48,0,0.13,N,4,0.125,8000.0,High (12-16%),12,Low Risk
22,50000,MORTGAGE,6.0,VENTURE,B,7200,10.99,0,0.14,N,3,0.144,7143.0,Medium (8-12%),5,Low Risk
22,44000,MORTGAGE,6.0,VENTURE,D,6400,15.99,1,0.15,Y,2,0.145,6286.0,High (12-16%),40,Medium Risk
25,44000,MORTGAGE,9.0,DEBTCONSOLIDATION,A,9800,7.49,1,0.22,N,4,0.223,4400.0,Low (<8%),8,Low Risk
24,42000,RENT,2.0,HOMEIMPROVEMENT,D,6000,14.96,1,0.14,Y,3,0.143,14000.0,High (12-16%),45,Medium Risk
26,48000,RENT,0.0,EDUCATION,A,6000,8.59,0,0.13,N,4,0.125,48000.0,Medium (8-12%),10,Low Risk
26,50000,OWN,10.0,PERSONAL,A,7500,5.99,0,0.15,N,2,0.15,4545.0,Low (<8%),0,
23,50000,MORTGAGE,3.0,MEDICAL,B,10000,10.99,0,0.2,N,3,0.2,12500.0,Medium (8-12%),10,Low Risk
22,50000,MORTGAGE,7.0,DEBTCONSOLIDATION,A,9000,8.49,0,0.18,N,2,0.18,6250.0,Medium (8-12%),0,
23,48000,RENT,3.0,EDUCATION,B,6000,11.89,0,0.13,N,3,0.125,12000.0,Medium (8-12%),10,Low Risk
23,42000,RENT,3.0,DEBTCONSOLIDATION,D,6000,14.42,1,0.14,N,4,0.143,10500.0,High (12-16%),25,Low Risk
23,50000,OWN,7.0,VENTURE,A,2050,7.49,0,0.04,N,2,0.041,6250.0,Low (<8%),0,
23,42000,RENT,2.0,PERSONAL,C,6000,12.41,1,0.14,N,4,0.143,14000.0,High (12-16%),17,Low Risk
24,48000,RENT,8.0,MEDICAL,C,6000,12.22,0,0.13,Y,4,0.125,5333.0,High (12-16%),32,Medium Risk
23,48500,RENT,1.0,MEDICAL,A,6000,9.32,0,0.12,N,3,0.124,24250.0,Medium (8-12%),10,Low Risk
23,44000,MORTGAGE,7.0,PERSONAL,A,10000,8.49,1,0.23,N,4,0.227,5500.0,Medium (8-12%),8,Low Risk
22,48996,RENT,6.0,PERSONAL,B,6000,10.99,0,0.12,N,2,0.122,6999.0,Medium (8-12%),5,Low Risk
23,49000,RENT,6.0,DEBTCONSOLIDATION,A,6000,7.9,0,0.12,N,3,0.122,7000.0,Low (<8%),0,
22,50000,OWN,1.0,MEDICAL,A,3600,7.49,0,0.07,N,2,0.072,25000.0,Low (<8%),10,Low Risk
24,50000,MORTGAGE,7.0,HOMEIMPROVEMENT,C,6000,13.99,0,0.12,Y,4,0.12,6250.0,High (12-16%),32,Medium Risk
25,49000,RENT,8.0,EDUCATION,C,6000,13.48,0,0.12,Y,2,0.122,5444.0,High (12-16%),32,Medium Risk
23,49152,RENT,2.0,PERSONAL,A,6000,7.9,0,0.12,N,3,0.122,16384.0,Low (<8%),5,Low Risk
21,49200,RENT,4.0,EDUCATION,C,6000,13.72,0,0.12,N,3,0.122,9840.0,High (12-16%),17,Low Risk
22,50000,MORTGAGE,4.0,MEDICAL,B,8000,10.59,0,0.16,N,4,0.16,10000.0,Medium (8-12%),10,Low Risk
24,49500,RENT,9.0,EDUCATION,D,6000,16.07,0,0.12,Y,4,0.121,4950.0,Very High (>16%),40,Medium Risk
21,50000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,5375,7.49,0,0.11,N,3,0.108,8333.0,Low (<8%),0,
22,50000,RENT,4.0,MEDICAL,B,6000,10.65,0,0.12,N,2,0.12,10000.0,Medium (8-12%),10,Low Risk
23,50000,RENT,4.0,DEBTCONSOLIDATION,B,6000,11.49,0,0.12,N,3,0.12,10000.0,Medium (8-12%),10,Low Risk
23,50000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,15000,9.99,0,0.3,N,4,0.3,6250.0,Medium (8-12%),13,Low Risk
24,50000,RENT,0.0,PERSONAL,A,6000,7.49,0,0.12,N,4,0.12,50000.0,Low (<8%),10,Low Risk
24,44000,MORTGAGE,4.0,MEDICAL,B,5000,11.99,1,0.11,N,3,0.114,8800.0,Medium (8-12%),10,Low Risk
24,50000,RENT,5.0,MEDICAL,C,6000,14.79,0,0.12,N,4,0.12,8333.0,High (12-16%),12,Low Risk
22,50000,RENT,3.0,DEBTCONSOLIDATION,C,6000,13.49,0,0.12,Y,2,0.12,12500.0,High (12-16%),37,Medium Risk
25,50000,RENT,1.0,MEDICAL,C,6000,14.79,0,0.12,Y,3,0.12,25000.0,High (12-16%),42,Medium Risk
24,50000,MORTGAGE,8.0,EDUCATION,A,9600,6.99,0,0.19,N,3,0.192,5556.0,Low (<8%),0,
23,50000,RENT,4.0,VENTURE,C,6000,13.49,0,0.12,N,3,0.12,10000.0,High (12-16%),17,Low Risk
25,50000,RENT,5.0,HOMEIMPROVEMENT,C,6000,12.99,0,0.12,Y,3,0.12,8333.0,High (12-16%),32,Medium Risk
22,50000,OWN,4.0,PERSONAL,B,5000,12.62,0,0.1,N,3,0.1,10000.0,High (12-16%),10,Low Risk
26,50000,RENT,4.0,PERSONAL,B,6000,10.99,0,0.12,N,3,0.12,10000.0,Medium (8-12%),10,Low Risk
24,50000,MORTGAGE,5.0,PERSONAL,B,3500,10.99,0,0.07,N,2,0.07,8333.0,Medium (8-12%),5,Low Risk
24,50000,RENT,1.0,MEDICAL,A,6000,5.79,0,0.12,N,4,0.12,25000.0,Low (<8%),10,Low Risk
26,50000,OWN,7.0,MEDICAL,A,12000,8.49,0,0.24,N,4,0.24,6250.0,Medium (8-12%),8,Low Risk
23,50000,RENT,4.0,DEBTCONSOLIDATION,A,6000,5.79,0,0.12,N,2,0.12,10000.0,Low (<8%),5,Low Risk
21,50000,MORTGAGE,5.0,PERSONAL,B,7000,10.59,0,0.14,N,3,0.14,8333.0,Medium (8-12%),5,Low Risk
25,50000,RENT,9.0,HOMEIMPROVEMENT,C,6000,14.17,0,0.12,N,3,0.12,5000.0,High (12-16%),12,Low Risk
21,50000,RENT,5.0,MEDICAL,B,6000,10.75,0,0.12,N,2,0.12,8333.0,Medium (8-12%),5,Low Risk
22,50000,RENT,3.0,DEBTCONSOLIDATION,B,6000,10.25,0,0.12,N,3,0.12,12500.0,Medium (8-12%),10,Low Risk
24,50000,MORTGAGE,8.0,EDUCATION,B,15000,9.99,0,0.3,N,3,0.3,5556.0,Medium (8-12%),13,Low Risk
23,50000,RENT,5.0,PERSONAL,B,6000,11.48,0,0.12,N,3,0.12,8333.0,Medium (8-12%),5,Low Risk
22,44000,MORTGAGE,6.0,MEDICAL,A,5000,5.42,1,0.11,N,4,0.114,6286.0,Low (<8%),0,
26,50000,MORTGAGE,6.0,DEBTCONSOLIDATION,B,10800,10.99,0,0.22,N,4,0.216,7143.0,Medium (8-12%),13,Low Risk
23,50000,OWN,4.0,VENTURE,A,4800,5.99,0,0.1,N,3,0.096,10000.0,Low (<8%),5,Low Risk
22,50000,RENT,6.0,PERSONAL,B,6000,11.89,0,0.12,N,2,0.12,7143.0,Medium (8-12%),5,Low Risk
23,50000,MORTGAGE,6.0,VENTURE,A,7000,5.99,0,0.14,N,3,0.14,7143.0,Low (<8%),0,
22,50000,RENT,2.0,DEBTCONSOLIDATION,B,6000,10.46,0,0.12,N,4,0.12,16667.0,Medium (8-12%),10,Low Risk
22,50000,MORTGAGE,0.0,DEBTCONSOLIDATION,A,6400,7.29,0,0.13,N,4,0.128,50000.0,Low (<8%),10,Low Risk
26,44000,MORTGAGE,4.0,PERSONAL,B,11500,9.63,1,0.26,N,3,0.261,8800.0,Medium (8-12%),18,Low Risk
22,50508,RENT,5.0,VENTURE,A,6000,5.42,0,0.12,N,3,0.119,8418.0,Low (<8%),0,
24,50000,MORTGAGE,4.0,DEBTCONSOLIDATION,B,5000,10.0,0,0.1,N,4,0.1,10000.0,Medium (8-12%),10,Low Risk
23,50000,MORTGAGE,3.0,PERSONAL,A,6000,6.92,0,0.12,N,2,0.12,12500.0,Low (<8%),5,Low Risk
22,50650,RENT,4.0,DEBTCONSOLIDATION,B,6000,11.86,0,0.12,N,2,0.118,10130.0,Medium (8-12%),10,Low Risk
24,50000,MORTGAGE,8.0,EDUCATION,A,3000,7.66,0,0.06,N,2,0.06,5556.0,Low (<8%),0,
24,50740,RENT,0.0,MEDICAL,A,6000,9.63,0,0.12,N,3,0.118,50740.0,Medium (8-12%),10,Low Risk
24,45000,RENT,0.0,MEDICAL,E,6000,17.19,1,0.13,N,3,0.133,45000.0,Very High (>16%),38,Medium Risk
25,50000,MORTGAGE,9.0,PERSONAL,A,10000,6.92,0,0.2,N,2,0.2,5000.0,Low (<8%),0,
26,51356,RENT,4.0,DEBTCONSOLIDATION,A,6000,5.79,0,0.12,N,4,0.117,10271.0,Low (<8%),5,Low Risk
26,51500,RENT,3.0,MEDICAL,B,6000,10.75,0,0.12,N,3,0.117,12875.0,Medium (8-12%),10,Low Risk
25,51541,RENT,0.0,DEBTCONSOLIDATION,B,6000,12.18,0,0.12,N,4,0.116,51541.0,High (12-16%),15,Low Risk
26,45928,RENT,5.0,HOMEIMPROVEMENT,A,6000,7.9,1,0.13,N,4,0.131,7655.0,Low (<8%),0,
23,52000,RENT,4.0,DEBTCONSOLIDATION,C,6000,14.22,0,0.12,N,4,0.115,10400.0,High (12-16%),17,Low Risk
25,50000,MORTGAGE,9.0,HOMEIMPROVEMENT,B,8000,10.0,0,0.16,N,2,0.16,5000.0,Medium (8-12%),5,Low Risk
25,52000,RENT,2.0,VENTURE,C,6000,12.87,0,0.12,Y,4,0.115,17333.0,High (12-16%),37,Medium Risk
25,52000,RENT,4.0,VENTURE,D,6000,14.96,0,0.12,Y,2,0.115,10400.0,High (12-16%),45,Medium Risk
26,52000,RENT,10.0,HOMEIMPROVEMENT,E,6000,15.68,0,0.12,N,3,0.115,4727.0,High (12-16%),28,Low Risk
24,52800,RENT,3.0,HOMEIMPROVEMENT,B,6000,9.91,0,0.11,N,4,0.114,13200.0,Medium (8-12%),10,Low Risk
22,50000,OWN,6.0,VENTURE,A,6400,6.92,0,0.13,N,4,0.128,7143.0,Low (<8%),0,
25,53000,RENT,9.0,HOMEIMPROVEMENT,A,6000,7.9,0,0.11,N,4,0.113,5300.0,Low (<8%),0,
22,50000,OWN,3.0,EDUCATION,A,5000,7.29,0,0.1,N,4,0.1,12500.0,Low (<8%),5,Low Risk
24,53000,RENT,0.0,EDUCATION,B,6000,11.49,0,0.11,N,2,0.113,53000.0,Medium (8-12%),15,Low Risk
23,50000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,6000,7.66,0,0.12,N,4,0.12,8333.0,Low (<8%),0,
22,53819,RENT,2.0,EDUCATION,A,6000,7.42,0,0.11,N,3,0.111,17940.0,Low (<8%),5,Low Risk
26,50000,MORTGAGE,9.0,DEBTCONSOLIDATION,A,10000,7.49,0,0.2,N,3,0.2,5000.0,Low (<8%),0,
22,50000,MORTGAGE,6.0,VENTURE,A,6800,6.92,0,0.14,N,4,0.136,7143.0,Low (<8%),0,
22,50000,MORTGAGE,3.0,PERSONAL,B,6000,11.11,0,0.12,N,3,0.12,12500.0,Medium (8-12%),10,Low Risk
22,54000,RENT,6.0,PERSONAL,C,6000,12.98,0,0.11,N,3,0.111,7714.0,High (12-16%),12,Low Risk
24,54000,RENT,2.0,EDUCATION,A,6000,7.14,0,0.11,N,3,0.111,18000.0,Low (<8%),5,Low Risk
26,48000,RENT,0.0,PERSONAL,E,6000,16.45,1,0.13,N,4,0.125,48000.0,Very High (>16%),38,Medium Risk
